Year,France,Germany,Italy,Spain,UK,USA
1971,5.900389,7.621336,7.17884,7.846021,8.006906,5.069157
1972,6.804973,4.531857,5.632973,8.517925,7.208515,4.322763
1973,7.859581,6.299514,12.73863,11.8496,8.430423,5.479884
1974,11.83242,7.27529,20.24638,15.94511,15.03443,8.998689
1975,13.7534,5.666624,16.98309,16.78178,25.77916,9.262621
1976,10.74921,3.306194,17.45428,16.48992,15.11465,5.503386
1977,8.775158,3.100718,18.47716,23.38307,13.72697,6.21336
1978,9.279091,3.545842,13.94497,20.63104,11.45973,7.033833
1979,10.31029,4.278141,15.45103,16.93163,14.07459,8.296593
1980,11.68694,5.451189,20.81579,13.35483,19.69969,9.033038
1981,11.69197,4.175239,18.78723,12.35119,11.55056,9.46218
1982,12.09477,4.581059,17.54095,13.58232,7.402503,6.17822
1983,9.650345,2.807939,15.09674,11.88425,5.1228,3.916773
1984,7.067529,1.989146,10.76185,10.86473,5.022642,3.607718
1985,5.453759,2.124726,9.174642,8.595479,5.462929,3.162445
1986,5.055172,2.999543,7.488418,10.87882,4.345286,2.013896
1987,2.455861,1.279664,6.009283,5.944198,5.532689,2.472493
1988,3.193401,1.690461,6.650403,5.936126,6.107246,3.527436
1989,3.285248,2.879067,6.197388,6.896194,7.945181,3.92034
1990,2.657163,3.396644,8.914063,7.326251,7.88026,3.743334
1991,2.547085,3.08508,7.581329,6.935139,6.402708,3.381756
1992,1.967056,5.286803,4.368116,6.710771,3.351919,2.278908
1993,1.623503,4.135528,3.885952,4.537241,2.696455,2.36928
1994,0.924929,2.164177,3.542474,3.879842,1.345853,2.135379
1995,1.124723,1.975525,4.925244,4.93313,10.87675,2.096831
1996,1.358078,0.622077,4.553871,3.470721,4.082275,1.831031
1997,0.878202,0.262417,2.601978,2.381828,0.714908,1.724391
1998,0.950263,0.608122,2.529809,2.53276,1.078644,1.12552
1999,0.203811,0.317978,1.620675,2.664838,0.788171,1.443803
2000,1.55329,-0.44979,1.96532,3.276074,2.115955,2.235474
2001,2.008334,1.277,2.986117,4.079866,0.817325,2.193425
2002,2.067426,1.350552,3.354199,4.114985,2.183686,1.581763
2003,1.859368,1.206866,3.181332,3.918909,2.403898,1.857095
2004,1.622675,1.093728,2.523726,3.921276,2.467632,2.692212
2005,1.936341,0.620694,1.888233,4.149491,2.552138,3.114942
2006,2.155327,0.304045,1.89885,3.9782,2.932471,3.026205
2007,2.556637,1.697387,2.434611,3.33114,2.542911,2.686279
2008,2.367074,0.838792,2.480577,2.135441,2.843944,1.945132
2009,0.066627,1.756994,1.957826,0.252534,1.619865,0.76235
2010,1.069697,0.757704,0.319446,0.160419,1.531681,1.165251
2011,0.94796,1.070477,1.468391,0.028968,1.919329,2.088904
2012,1.161825,1.540294,1.380153,0.06795,1.562833,1.917849
2013,0.778101,1.965391,1.21194,0.35361,1.865557,1.754916